Municipality,geography_type,Year,Adoption Year,adopted_this_year,municipal_population,percent_25_plus_high_school_or_higher,non_hispanic_white_share,per_capita_income,per_capita_spending,kentucky_smoker_percentage,tobacco_lobbyist_ratio,proportion_state_population_local_restriction
Hazard,place,2016,2019,0,5383.0,80.72,94.19,26750.0,4083.18,24.5,0.0294599018003273,0.172484
Hazard,place,2017,2019,0,5250.0,80.3,93.85,25121.0,4083.18,24.6,0.0364583333333333,0.173346
Hazard,place,2018,2019,0,5170.0,83.31,91.3,23343.0,4083.18,23.3,0.0364583333333333,0.174531
Hazard,place,2019,2019,1,5046.0,81.18,90.03,28526.0,4083.18,23.6,0.0364583333333333,0.203783
Clarkson,place,2016,2017,0,971.0,73.46,95.26,13953.0,1578.35,24.5,0.0294599018003273,0.172484
Clarkson,place,2017,2017,1,1041.0,75.49,86.07,14820.0,1578.35,24.6,0.0364583333333333,0.173346
Stanford,place,2016,2018,0,3677.0,80.76,85.45,19073.0,861.14,24.5,0.0294599018003273,0.172484
Stanford,place,2017,2018,0,3636.0,81.88,86.77,20702.0,861.14,24.6,0.0364583333333333,0.173346
Stanford,place,2018,2018,1,3673.0,81.7,88.37,21182.0,861.14,23.3,0.0364583333333333,0.174531
Oldham County,county,2016,2018,0,63876.0,92.78,88.62,35795.0,664.29,24.5,0.0294599018003273,0.172484
Oldham County,county,2017,2018,0,64633.0,93.52,88.48,38063.0,664.29,24.6,0.0364583333333333,0.173346
Oldham County,county,2018,2018,1,65374.0,93.86,88.38,40779.0,664.29,23.3,0.0364583333333333,0.174531
Salyersville,place,2016,2018,0,1921.0,68.71,95.31,14721.0,704.7,24.5,0.0294599018003273,0.172484
Salyersville,place,2017,2018,0,1828.0,66.99,95.9,16327.0,704.7,24.6,0.0364583333333333,0.173346
Salyersville,place,2018,2018,1,1772.0,65.03,98.36,17738.0,704.7,23.3,0.0364583333333333,0.174531
Paducah,place,2016,2018,0,25010.0,85.81,73.59,28074.0,5990.03,24.5,0.0294599018003273,0.172484
Paducah,place,2017,2018,0,24879.0,85.62,70.81,28701.0,5990.03,24.6,0.0364583333333333,0.173346
Paducah,place,2018,2018,1,24879.0,87.39,70.4,30347.0,5990.03,23.3,0.0364583333333333,0.174531
Martin,place,2016,2018,0,596.0,63.99,97.99,14001.0,2998.15,24.5,0.0294599018003273,0.172484
Martin,place,2017,2018,0,545.0,68.73,97.25,15839.0,2998.15,24.6,0.0364583333333333,0.173346
Martin,place,2018,2018,1,517.0,71.92,97.49,15760.0,2998.15,23.3,0.0364583333333333,0.174531
Murray,place,2016,2018,0,18726.0,85.42,83.8,17129.0,10765.91,24.5,0.0294599018003273,0.172484
Murray,place,2017,2018,0,18900.0,86.3,83.44,17654.0,10765.91,24.6,0.0364583333333333,0.173346
Murray,place,2018,2018,1,19037.0,88.27,85.22,18064.0,10765.91,23.3,0.0364583333333333,0.174531
La Grange,place,2016,2018,0,8481.0,89.37,81.55,25464.0,579.56,24.5,0.0294599018003273,0.172484
La Grange,place,2017,2018,0,8620.0,91.02,82.54,26262.0,579.56,24.6,0.0364583333333333,0.173346
La Grange,place,2018,2018,1,8735.0,89.31,81.47,26249.0,579.56,23.3,0.0364583333333333,0.174531
Williamstown,place,2016,2019,0,3935.0,78.3,94.0,14302.0,4091.39,24.5,0.0294599018003273,0.172484
Williamstown,place,2017,2019,0,3915.0,77.86,92.01,15816.0,4091.39,24.6,0.0364583333333333,0.173346
Williamstown,place,2018,2019,0,3924.0,81.9,96.79,16840.0,4091.39,23.3,0.0364583333333333,0.174531
Williamstown,place,2019,2019,1,3905.0,86.7,93.29,19214.0,4091.39,23.6,0.0364583333333333,0.203783
Perry County,county,2016,2019,0,27818.0,74.88,95.7,19697.0,1026.83,24.5,0.0294599018003273,0.172484
Perry County,county,2017,2019,0,27329.0,76.58,95.63,19890.0,1026.83,24.6,0.0364583333333333,0.173346
Perry County,county,2018,2019,0,26917.0,76.79,95.52,20140.0,1026.83,23.3,0.0364583333333333,0.174531
Perry County,county,2019,2019,1,26624.0,76.91,95.18,23135.0,1026.83,23.6,0.0364583333333333,0.203783
Perryville,place,2016,2019,0,1120.0,79.47,94.02,16666.0,864.65,24.5,0.0294599018003273,0.172484
Perryville,place,2017,2019,0,1090.0,80.95,96.51,18117.0,864.65,24.6,0.0364583333333333,0.173346
Perryville,place,2018,2019,0,1009.0,84.7,92.67,21476.0,864.65,23.3,0.0364583333333333,0.174531
Perryville,place,2019,2019,1,839.0,87.02,92.73,24098.0,864.65,23.6,0.0364583333333333,0.203783
Hodgenville,place,2016,2020,0,3236.0,76.2,79.94,18698.0,1280.18,24.5,0.0294599018003273,0.172484
Hodgenville,place,2017,2020,0,3204.0,76.97,83.58,20839.0,1280.18,24.6,0.0364583333333333,0.173346
Hodgenville,place,2018,2020,0,3213.0,75.84,85.71,21175.0,1280.18,23.3,0.0364583333333333,0.174531
Hodgenville,place,2019,2020,0,3212.0,79.6,85.49,19114.0,1280.18,23.6,0.0364583333333333,0.203783
Hodgenville,place,2020,2020,1,3221.0,84.74,90.16,18941.0,1280.18,21.4,0.0218281036834924,0.213754
Knott County,county,2016,2020,0,15884.0,71.71,97.37,17761.0,668.41,24.5,0.0294599018003273,0.172484
Knott County,county,2017,2020,0,15690.0,73.42,97.23,17670.0,668.41,24.6,0.0364583333333333,0.173346
Knott County,county,2018,2020,0,15513.0,73.14,97.09,18201.0,668.41,23.3,0.0364583333333333,0.174531
Knott County,county,2019,2020,0,15260.0,75.07,96.85,18475.0,668.41,23.6,0.0364583333333333,0.203783
Knott County,county,2020,2020,1,15041.0,72.34,96.83,18723.0,668.41,21.4,0.0218281036834924,0.213754
Owsley County,county,2016,2021,0,4552.0,70.22,93.96,16533.0,892.17,24.5,0.0294599018003273,0.172484
Owsley County,county,2017,2021,0,4497.0,70.15,94.24,16582.0,892.17,24.6,0.0364583333333333,0.173346
Owsley County,county,2018,2021,0,4463.0,69.15,97.83,17766.0,892.17,23.3,0.0364583333333333,0.174531
Owsley County,county,2019,2021,0,4442.0,68.76,93.43,18940.0,892.17,23.6,0.0364583333333333,0.203783
Owsley County,county,2020,2021,0,4416.0,69.12,92.66,18917.0,892.17,21.4,0.0218281036834924,0.213754
Owsley County,county,2021,2021,1,4094.0,68.54,89.67,18097.0,892.17,19.6,0.0398773006134969,0.218063
Beattyville,place,2016,2022,0,1414.0,64.11,97.6,12428.0,3483.92,24.5,0.0294599018003273,0.172484
Beattyville,place,2017,2022,0,1450.0,66.7,92.21,14074.0,3483.92,24.6,0.0364583333333333,0.173346
Beattyville,place,2018,2022,0,1375.0,72.47,93.09,14222.0,3483.92,23.3,0.0364583333333333,0.174531
Beattyville,place,2019,2022,0,1375.0,70.93,89.53,15210.0,3483.92,23.6,0.0364583333333333,0.203783
Beattyville,place,2020,2022,0,1481.0,55.9,86.36,12426.0,3483.92,21.4,0.0218281036834924,0.213754
Beattyville,place,2021,2022,0,1794.0,65.68,81.44,11035.0,3483.92,19.6,0.0398773006134969,0.218063
Beattyville,place,2022,2022,1,1956.0,65.76,82.92,11251.0,3483.92,17.4,0.0281481481481481,0.219591
Dayton,place,2016,2022,0,5385.0,82.44,95.47,19815.0,825.75,24.5,0.0294599018003273,0.172484
Dayton,place,2017,2022,0,5378.0,82.71,94.37,22274.0,825.75,24.6,0.0364583333333333,0.173346
Dayton,place,2018,2022,0,5422.0,84.03,94.12,25405.0,825.75,23.3,0.0364583333333333,0.174531
Dayton,place,2019,2022,0,5496.0,85.53,92.83,26823.0,825.75,23.6,0.0364583333333333,0.203783
Dayton,place,2020,2022,0,5550.0,87.93,90.2,29156.0,825.75,21.4,0.0218281036834924,0.213754
Dayton,place,2021,2022,0,5641.0,89.69,86.97,35311.0,825.75,19.6,0.0398773006134969,0.218063
Dayton,place,2022,2022,1,5674.0,91.14,88.72,39369.0,825.75,17.4,0.0281481481481481,0.219591
